"","DMD_1_H","DMD_2_H","DMD_3_H","DMD_4_H","DMD_5_H","DMD_6_H","DMD_7_H","DMD_8_H","DMD_9_H","DMD_10_H","DMD_11_H","DMD_12_H","NOR_1_H","NOR_2_H","NOR_3_H","NOR_4_H","NOR_5_H","NOR_6_H","NOR_7_H","NOR_8_H","NOR_9_H","NOR_10_H","NOR_11_H","NOR_12_H"
"ENSG00000102882",4203.5,2255,1786.8,3509.8,2582.1,1692.5,2656.2,2582.3,4003.7,2567.8,2256.2,2412.1,2886.6,2519.2,1909.6,2401.2,3007.6,3173,2488.3,3569.4,2357.1,2406.4,2594.3,94
"ENSG00000066056",2133.1,1082.3,538.4,574.7,549.6,1419.9,1812,701.6,1638.5,1551.8,834.2,903,969.1,957.5,1221.1,1403.2,995.5,1040.6,1058.8,2276.3,1722.2,735.9,492.1,12.5
"ENSG00000165841",403.85,899.35,1280.3,756.6,514.2,650.05,705,338.3,817.95,1244.85,746.05,814.15,1135.3,867.1,555.7,797.3,1051.3,945.2,369.75,495.85,153.1,1089.75,846.7,34.4
"ENSG00000160683",468.2,190.6,369,206.8,131,130,212.6,286.9,256.7,239.3,498.2,291.4,220.7,144.3,228.6,359.2,226.6,529.1,392.9,231.4,385.2,194.5,605.4,8.5
"ENSG00000120129",3819.5,3857.2,1188.6,730.3,934.2,2972,5615.9,1701.6,5621.8,2238.8,1859,1265,8288.3,6941.6,2033.3,5658.1,6127.1,3502.2,5699.6,6436.3,2070.7,2446.5,3615.7,272.3
"ENSG00000166670",19.4,18.3,63.3,28,16.1,15.6,36.4,55,29.6,35.8,139.6,47.5,24.4,40.7,19,44.8,24.2,15.7,35.2,226.2,43.8,39.4,27.5,1
"ENSG00000137332",2519.5,3139.1,2955.3,4247.15,3102.7,3176.8,2314.05,3776.7,4941.2,3779.15,2810.4,3599.6,2724.45,1866.4,1429.8,1801.5,3014.05,2785.1,2050.05,3133.45,2389.55,2764.3,2996.75,53.9
"ENSG00000055332",3369.2,4405.1,2303.8,8142.85,1606.35,1653.75,3477.5,1939.55,3012.95,1762,1594.2,2009.75,3168.85,2507.85,4090.95,1547.65,1920.2,2215.05,4093,4196.7,2709.45,3036,3258.1,115.6
"ENSG00000169567",12331.2,15111.5,12115.1,14052.4,13624.5,16856.9,16048.7,21626,9276.5,9772.6,14707.7,13500.5,12958.7,13447.8,20963.9,14363.5,9826,18182.5,13757.2,16170.6,17459.1,15102,15816,431.4
"ENSG00000100949",1758.5,1276.25,1262.6,1445.15,1581.15,1134.75,2251.95,1709.65,973.9,1007.55,1433.9,1142.55,2057.1,1228.75,1119.4,1363.1,1555.5,1616.85,1280.7,1954.2,2094.1,1458.55,1083.15,34.75
"ENSG00000185386",663,556.05,287.8,551.95,202.15,446.1,910.1,765.7,772.3,679.7,763.05,427.9,648.8,710.7,464.55,374.2,618.35,371.35,354.4,577.1,210.35,196.45,643.6,15.95
"ENSG00000108953",2570.5,1927.9,598.4,1893,1951,1117.8,2806.6,1974,2117.3,1049.5,1287.9,2630.3,1503,748.1,2179.3,959,1343.8,1477.8,831.9,2396.8,609.7,1160.9,2056.9,30.8
"ENSG00000114166",397.5,466.3,109.7,39.4,536.7,397.1,742.8,425.3,295.1,192,470.5,52.2,1230.6,283.6,200.8,741.1,382.1,443.7,478.3,541.8,577.1,515.4,601.2,15.3
"ENSG00000113658",119.2,178.1,207.1,73.1,148.2,69,123.9,125.9,220.7,141.6,225.5,95.6,447.2,214.6,194.7,448.9,191.2,260.9,246.9,115.6,142.5,255.7,354.4,16.1
"ENSG00000140521",2616.8,3001.3,3043.5,2125.2,1839.4,2523.1,2362.6,2532.2,2549.6,2674.6,2848.8,2345.9,3017.3,1898.2,2436.5,3041.5,2843.5,2526,2450.9,2753,2859,3005.2,2054.2,98.2
"ENSG00000106683",284,318.6,158.8,339.2,164.3,236.9,168.4,273.3,232,82.5,171.9,174.8,143.1,125.3,454.2,144.1,117.9,236.7,154.5,149.6,107.3,131.9,168.9,17
