"","BCR_1_A","BCR_2_A","BCR_3_A","BCR_4_A","BCR_5_A","BCR_6_A","BCR_7_A","BCR_8_A","BCR_9_A","BCR_10_A","BCR_11_A","BCR_12_A","BCR_13_A","BCR_14_A","BCR_15_A","E2A_1_A","E2A_2_A","E2A_3_A","E2A_4_A","E2A_5_A","E2A_6_A","E2A_7_A","E2A_8_A","E2A_9_A","E2A_10_A","E2A_11_A","E2A_12_A","E2A_13_A","E2A_14_A","E2A_15_A","E2A_16_A","E2A_17_A","E2A_18_A"
"ENSG00000115415",1866.8,717.4,261.8,414,544.4,247.7,648.8,373.1,380.85,692.1,661.4,547.1,372.65,658.7,1103.5,260.7,470.35,498.3,241.65,332.2,904.85,683.6,339.45,371.95,567.2,382.7,715.65,584.1,549.7,346.8,418.25,320.45,405.3
"ENSG00000264063",36.7,21.35,14.25,39.35,11.35,8.9,9.35,20.55,13.4,17.45,14.4,9.9,14.55,7.45,57.25,103.9,23.3,26.2,59.1,10.95,154.75,22,23.2,22.15,148.65,14.25,79.25,26.1,22.1,16.85,24.5,27.7,10.5
"ENSG00000111640",24233.5,25192,31465.85,35763.1,28718.15,30837.7,38426.8,23158.6,23879.45,24217.85,29811.35,19885.9,28669.35,23970.4,32582.75,30249.75,27070.4,26054.55,24435.6,27519.2,29149.3,26403.05,20928.5,17858.4,25869.4,35345.55,20019.4,28160.6,20867.25,38064.1,14125.15,23123.25,34606.6
"ENSG00000075624",30533.3,43052.6,27534.2,55542.6,50854.9,38317.4,45315.5,40534,35958.4,27218.4,38854.3,37122.9,48268.1,49470,41153.1,40610.4,53450.3,41044.2,47211.7,46462.7,57942.5,41995.9,48179,38198.4,33349.7,37382.4,42721.3,50838.7,42621.9,52663.5,40087,44671.6,53585.6
"ENSG00000174231",2554.7,2707.4,4056.5,2829.5,3282.3,2997.6,2985.2,2607.7,1581.2,2181.2,2404.7,2565.6,3394.6,2870.7,2599.1,3199.6,3180.7,2472.7,2939.8,3470.1,2710.7,3412.9,3115.9,2609.6,2423.6,3260.2,2931.7,2933.1,2759.9,3811.3,2480.6,2922.3,3526.9
"ENSG00000126247",2029,3289.9,3914.3,4371.5,3297.3,4532.2,4718.3,3350.2,3289,4831.2,5315.5,2695.5,4887.5,4570,3444.2,3253.9,4452.9,3007.4,1944,3814.6,2668.5,3175.1,4132.4,2289.2,1230.2,2367.3,3600.8,3868.9,3095.9,3770,3130.2,2634.6,4233
"ENSG00000136942",16939.6,16530.1,11990.4,22976.5,15366.9,17294.2,16938.9,15878.8,23101.7,17596,15320.6,17709.7,19454.2,16448.8,16880.7,20685.8,19846.2,24580.6,11472.2,16238.5,20498.1,11560.5,10696.5,8273.2,14233.3,15563.6,7773.3,10433.7,12281.4,13511.3,7643.4,10048.4,14615.9
"ENSG00000108107",13820.65,15491.1,16146.9,18673.35,11530.35,14976.9,15529.3,13632,20005.1,15756.75,14740.85,12502.1,19469,12407.65,12621.25,20435.65,12683.6,18477.95,12939,13845.05,20249.75,12024.05,11124.3,8019.85,17634.8,15628.25,10435.6,11345.95,14510.35,13574.3,7803.35,11979.8,12234.85
"ENSG00000110321",4219.45,4209.3,3531,3719.8,3731.35,3975,4385.55,3651.2,3843.55,3309.95,3042.8,5237.75,3540.85,4708.85,2849.85,5925.65,4262.25,4965.55,5619.1,5184.1,4224.95,5091.15,4911,4654.5,4591.5,5097,5616.2,5395.35,5203.2,6082,4059.55,4915.7,4880.15
"ENSG00000100353",4086.8,5418.6,7822,7120.9,6829.7,5476,6380.2,7049.7,6126.5,5928.5,5366.1,5007.7,6776.1,5271.5,4977.5,6946.6,4546.4,5853.9,5707.8,6426.3,4854.4,5024.4,5200.7,3437,5763.9,5023.5,4194.9,5786.1,6170.2,6048.6,3929.2,4711.9,6299
