"","BCR_1_Y","BCR_2_Y","BCR_3_Y","BCR_4_Y","BCR_5_Y","BCR_6_Y","BCR_7_Y","BCR_8_Y","BCR_9_Y","BCR_10_Y","BCR_11_Y","BCR_12_Y","BCR_13_Y","BCR_14_Y","BCR_15_Y","E2A_1_Y","E2A_2_Y","E2A_3_Y","E2A_4_Y","E2A_5_Y","E2A_6_Y","E2A_7_Y","E2A_8_Y","E2A_9_Y","E2A_10_Y","E2A_11_Y","E2A_12_Y","E2A_13_Y","E2A_14_Y","E2A_15_Y","E2A_16_Y","E2A_17_Y","E2A_18_Y","E2A_19_Y","E2A_20_Y","E2A_21_Y","E2A_22_Y","E2A_23_Y","E2A_24_Y","E2A_25_Y","E2A_26_Y","E2A_27_Y"
"ENSG00000102882",-2597.8,175.7,1249.2,99.3,-596.8,-120.7,-1160.7,792.2,-655.5,1635.9,-1145,-263,49.3,1406.4,-649.4,1533.1,602.6,207.1,678.7,3511,1114,621.8,1579.5,-1401.5,-553.4,4454.8,433.5,1921.8,431.5,359.9,1226.5,3.5,1064.8,1230.5,773.9,907.6,391.2,343.3,3191.4,1059.7,6396.8,564.7
"ENSG00000066056",-404.1,-512.5,-57.6,866.6,38.9,-920,2732.6,-1242.8,-218.6,-606,-811.7,-1006.1,1636.4,1559,406.8,1703,-302.2,118.5,-437.3,1469.7,622.8,-1449.3,-491.9,-1241.8,165.2,-896.7,-495.7,-1498.7,741.3,443.3,1082.5,517.4,-213.4,380.2,-417.9,-2161.9,-61.5,812,2493.4,4010.9,-321.1,-281.7
"ENSG00000165841",3196.1,1140.2,-32.35,868.25,202.3,633.95,-280.55,-126.3,792.25,1285.6,938.15,678.2,1363.1,760.5,1144.3,1093.85,591.9,893,-2,1285,471.95,625.3,611.75,213.55,716.25,857.8,862.55,267.75,128.35,205.6,958.9,933.75,1038.05,423,578.45,-649.35,1747.6,313.75,357.1,2098.35,714,573.65
"ENSG00000160683",558.9,1868.5,365.7,606.9,1450.7,1547.7,2773.7,1481.8,976.7,1734.6,2504.7,914.4,1948.8,1950.6,2917.6,1767.2,2120.4,897,11.9,649.6,892.7,915.7,2062.1,2015.1,1634.5,1110.7,1079.3,2213.4,2819.1,2909.5,1319.9,1592.5,2187.6,1170.1,1062.7,2612.6,676.8,1884.7,1899,1238.7,976.8,1450.1
"ENSG00000120129",88238.5,35813.4,87690,40625.7,13969.7,46073,39646.1,15463.9,45114.8,46249,49258.7,38621.6,36252.9,42683.7,34031.4,79518.3,40021.6,37467.6,102966.2,36097.5,35992.7,33908.1,29058.7,49678,37367.4,209550.2,24450.5,43914.2,45094.2,47527.6,25833.7,57486.8,45958.5,64016,40339.7,69333.3,26007.1,40616.6,46674.1,56023.4,55150.5,17530.9
"ENSG00000166670",51027.5,26708,54876.7,25823.5,10188.3,31715.7,22898.3,11804.9,30532.6,31665.1,35810.8,30470.7,25798.7,25578.4,23698.9,55223.3,28299.1,25340.8,59023.3,24329.7,33287.3,20797.6,19389.4,31484,24577.4,161410.9,18988.8,36125.9,24557.9,30325.2,17978.6,41431.8,32866.6,45117.3,21588.7,49426.1,20835.5,28456.3,31258.2,41616,30418.7,10706.3
"ENSG00000137332",31968.3,17373.4,28922.85,16417.1,14460.25,20030.3,16557.8,10818.8,19049.55,17914.45,24164.45,17442.65,17071.2,39236.15,14450.2,26008.3,18235.5,12761,30341.25,29522.95,13464.7,12359.8,12744.3,18584.2,13427.75,57776,9846.95,15057.4,11428.85,17009.75,12747.6,20475.25,17119.3,20475.05,34618.25,23997.95,13012,13345.65,15267.55,20430.8,44411.8,19821.7
"ENSG00000055332",27471.6,11160.8,26111.65,13000.55,11456.8,12671.3,12633.45,6971.15,14876.3,17561.05,16707.45,12666.6,13170.35,37904.45,11627.6,24419.95,16180.95,12063.45,27478.05,30901.7,8703.3,12993.8,11940.05,16670.4,12592.3,51537.4,8712.1,16535,12741.5,15271.8,8315.4,19163.65,13447.1,20924.6,36651.05,24431.3,11153.9,9267.75,15159.6,21271.9,45569.8,16601.8
"ENSG00000169567",53545.3,25721.6,62605.8,29884,30512.6,26938.9,34461.5,13709.4,29002.5,31148.6,35877.8,26495.7,25337.7,78883,25215.6,41336.7,30680.9,28031.1,60959.6,67378,29884.7,24651.8,24057.8,45773.7,30291.5,134361.5,14769.7,37556.6,41865.4,33347.5,17993.7,41450.8,27422.7,47515.8,88423.6,50141.8,20204.9,21668.2,36784.8,38469.4,93796.7,34506.5
"ENSG00000100949",112751.8,61613.85,125879.3,55444.15,54837.55,61148.7,62622.55,33787,72464.6,76223.45,73756.6,67767.1,60909.5,196876.25,59104.35,121031.15,71702.9,73494.3,126981.15,172590,61312,58935,62823.3,72001.05,62940.7,279309.45,45855.1,75130.8,94497.35,68132.35,48767.2,81953,72481.3,95588.5,181905.6,113823.25,48925,49848.6,86547.45,99907.25,241343.6,90559.35
